symbol,gene_id,treatment_splicing_P,time_splicing_P,treatment_over_time_splicing_P,flag_treatment_splicing_P05,flag_time_splicing_P05,flag_trt_over_time_splicing_P05
Dsim\GD11384,FBgn0183133,0.28235937542951,0.24946943820844,0.05698392566899,0,0,0
Dsim\GD11386,FBgn0183135,0.39530808351261,0.32102181542437,0.30875699121128,0,0,0
Dsim\GD11388,FBgn0183137,0.90585711797835,0.20480040488511,0.42100004920311,0,0,0
Dsim\GD11389,FBgn0183138,0.97292272041785,0.98295742974925,0.98408143963708,0,0,0
Dsim\GD11391,FBgn0183140,,,,0,0,0
Dsim\GD11392,FBgn0183141,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD11394,FBgn0183143,0.8307355229405,0.14173635975148,0.77668876301913,0,0,0
Dsim\GD11396,FBgn0183145,0.99390625609795,0.24605478254143,0.20346472072803,0,0,0
Dsim\GD11397,FBgn0183146,,,,0,0,0
Dsim\GD11398,FBgn0183147,0.59611935125383,0.05620473587391,0.41182379831705,0,0,0
Dsim\GD11399,FBgn0183148,0.08764506043014,0.0330078083601,0.56838237871522,0,1,0
Dsim\GD11400,FBgn0183149,,,,0,0,0
Dsim\GD11402,FBgn0183151,,,,0,0,0
Dsim\GD11404,FBgn0183153,0.44656078801678,0.44738196382965,0.99887533205791,0,0,0
Dsim\GD11405,FBgn0183154,0.55723670584816,0.00262213437865,0.09704802082776,0,1,0
Dsim\GD11406,FBgn0183155,0.51131379918802,0.85249325117842,0.08504563399028,0,0,0
Dsim\GD11407,FBgn0183156,0.07593563615664,0.23027529700275,0.86521108636224,0,0,0
Dsim\GD11408,FBgn0183157,0.42428334589945,0.4864317859205,0.88973796893407,0,0,0
Dsim\GD11410,FBgn0183159,0.31696751313642,0.88498094406633,0.69835356757538,0,0,0
Dsim\GD11412,FBgn0183161,0.56446049091,0.03448913200985,0.84469125946663,0,1,0
Dsim\GD11413,FBgn0183162,0.60747081701712,0.46364886629663,0.20343648912172,0,0,0
Dsim\GD11415,FBgn0183164,0.49930678778383,0.37160044407549,0.0007016372094,0,0,1
Dsim\GD11417,FBgn0183166,,,,0,0,0
Dsim\GD11421,FBgn0183170,0.51345492688574,0.93859604729451,0.93763765118411,0,0,0
Dsim\GD11423,FBgn0183172,0.45581974603895,0.93250653479058,0.31001167720381,0,0,0
Dsim\GD11426,FBgn0183175,0.85088354882102,0.96305206322272,0.99979961773487,0,0,0
